  W_i   H_i  C_i   B  W_f H_f   C_o  Pad  Stride   W_o   C_o  Time (us)
  700   161    1   4   20   5    32    0       2   340    78  109.811606  0.816981
  700   161    1   8   20   5    32    0       2   340    78  219.531905  0.780687
  700   161    1  16   20   5    32    0       2   340    78  438.972504  0.767247
  700   161    1  32   20   5    32    0       2   340    78  877.853702  0.759492
  341    79   32   4   10   5    32    0       2   165    37  120.798016  0.931637
  341    79   32   8   10   5    32    0       2   165    37  241.550380  0.925654
  341    79   32  16   10   5    32    0       2   165    37  483.055106  0.904704
  341    79   32  32   10   5    32    0       2   165    37  966.064559  0.875779
  480    48    1  16    3   3    16    1       1   479    47  174.968576  0.582414
  108   108    3   8    3   3    64    1       2    53    53  49.818453  0.674389
  224   224    3   8    3   3    64    1       1   223   223  760.866804  0.383414
  224   224    3  16    3   3    64    1       1   223   223  1521.717173  0.331994
  224   224    3  16    7   7    64    3       2   111   111  432.055151  0.764033
   28    28  192  16    1   1    64    0       1    27    27  90.022371  0.585150
   14    14  512  16    1   1   192    0       1    13    13  60.632752  0.770330
    7     7  832  16    1   1   256    0       1     6     6  22.826534  0.909058
   56    56   64   8    1   1   256    0       2    27    27  90.013240  0.670281
   28    28  128   8    1   1   512    0       2    13    13  44.221387  0.835608
   14    14  256   8    1   1   256    0       1    13    13  21.336418  0.849744
   14    14  256   8    1   1  1024    0       2     6     6  21.358331  0.899726
    7     7  512   8    1   1   512    0       1     6     6   9.948716  0.948184
    7     7 2048   8    1   1   512    3       2     6     6  27.128879  0.943716
   56    56   64  16    1   1   256    0       2    27    27  180.019175  0.470532
   28    28  128  16    1   1   512    0       2    13    13  88.428165  0.710072
   14    14  256  16    1   1   256    0       1    13    13  42.665531  0.789825
   14    14  256  16    1   1  1024    0       2     6     6  42.687444  0.878383
    7     7  512  16    1   1   512    0       1     6     6  19.882824  0.928990
    7     7 2048  16    1   1   512    3       2     6     6  54.243149  0.931164
  700   161    1  16    5   5    64    1       2   348    79  855.911012  0.395543
  350    80   64  16    5   5   128    1       2   173    38  1578.096957  0.880538
  175    40  128  16    5   5   256    1       2    86    18  1503.500735  0.878945
   84    20  256  16    5   5   512    1       2    40     8  1301.269964  0.882131
  112   112   64   8    1   1    64    0       1   111   111  363.254153  0.374778
   56    56   64   8    1   1   256    0       1    55    55  222.589748  0.409576
   56    56  256   8    1   1    64    0       1    55    55  227.449060  0.467332
   56    56  256   8    1   1   128    0       2    27    27  205.354802  0.446483
   28    28  128   8    1   1   512    0       1    27    27  108.121073  0.716218
   28    28  512   8    1   1   128    0       1    27    27  112.931080  0.684550
   28    28  512   8    1   1   256    0       2    13    13  102.284784  0.661309
   14    14  256   8    1   1  1024    0       1    13    13  50.985346  0.851787
   28    28  512   8    1   1  1024    0       2    13    13  134.256541  0.822177
   14    14 1024   8    1   1   256    0       1    13    13  55.696742  0.837619
   14    14  256   8    1   1  1024    0       1    13    13  50.985346  0.852216
   14    14 1024   8    1   1   512    0       2     6     6  50.766211  0.848459
    7     7  512   8    1   1  2048    0       1     6     6  22.614703  0.960185
   14    14 1024   8    1   1  2048    0       2     6     6  65.623545  0.929285
    7     7 2048   8    1   1   512    0       1     6     6  27.128879  0.948227
  112   112   64  16    1   1    64    0       1   111   111  726.506479  0.468150
   56    56   64  16    1   1   256    0       1    55    55  445.172191  0.379118
   56    56  256  16    1   1    64    0       1    55    55  454.896294  0.559209
   56    56  256  16    1   1   128    0       2    27    27  410.705951  0.307410
   28    28  128  16    1   1   512    0       1    27    27  216.227536  0.633513
   28    28  512  16    1   1   128    0       1    27    27  225.858507  0.583287
   28    28  512  16    1   1   256    0       2    13    13  204.562264  0.577351
   14    14  256  16    1   1  1024    0       1    13    13  101.941473  0.832057
   28    28  512  16    1   1  1024    0       2    13    13  268.483863  0.797981
   14    14 1024  16    1   1   256    0       1    13    13  111.386180  0.820345
   14    14  256  16    1   1  1024    0       1    13    13  101.941473  0.832333
   14    14 1024  16    1   1   512    0       2     6     6  101.517813  0.805148
    7     7  512  16    1   1  2048    0       1     6     6  45.170971  0.939530
   14    14 1024  16    1   1  2048    0       2     6     6  131.188654  0.908002
    7     7 2048  16    1   1   512    0       1     6     6  54.243149  0.924871
